time density mach_number sound_speed magnetic_energy_density magnetic_field_magnitude
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000049998750045521e+00 1.249999999922540720e-03 1.260269508229000801e-01
2.006660933817551173e-01 9.999999999965929476e-01 2.876923223852321798e-01 1.000049989386079918e+00 1.305965680136954646e-03 1.283589577337714005e-01
4.000024026701901048e-01 1.000000000002717826e+00 5.106803060791954563e-01 1.000049818479573416e+00 2.287524468461580272e-03 1.604771760382173729e-01
6.000376316073835481e-01 1.000000000009167778e+00 6.737244500389509838e-01 1.000049275526403436e+00 6.455668218629240056e-03 2.506907382724622990e-01
8.000857394711057280e-01 9.999999999845243792e-01 8.101949483836820010e-01 1.000048474121905340e+00 1.726136187198163904e-02 3.991461221057149289e-01
1.000266677975628626e+00 1.000000000004562573e+00 8.820190322267464911e-01 1.000049513069001916e+00 3.474705175171512866e-02 6.124309018610261113e-01
1.200025552542550278e+00 9.999999999985016430e-01 8.676284971322544282e-01 1.000053555526463134e+00 5.194883999228652738e-02 8.528423556543951456e-01
1.400283023416649009e+00 9.999999999954827246e-01 8.216407439358431875e-01 1.000061750091868928e+00 5.998027474267755843e-02 9.958767026590312765e-01
1.600049415460425228e+00 1.000000000006683543e+00 7.925193477928539343e-01 1.000069186575748725e+00 6.156537744570577536e-02 1.042894264130847626e+00
1.800109928693179873e+00 1.000000000009415579e+00 8.080888438003476226e-01 1.000075188517985492e+00 6.328884644580792807e-02 1.066338891481208861e+00
2.000035357380817835e+00 1.000000000001551648e+00 8.071311251418910038e-01 1.000080757244618646e+00 6.670071629813992264e-02 1.097592833170918825e+00
2.200142304875997379e+00 1.000000000004677148e+00 7.818350642191849165e-01 1.000086342330190670e+00 6.796997250785924427e-02 1.113772736704393029e+00
2.400102688937785445e+00 9.999999999906332704e-01 7.947497606016613592e-01 1.000092009559872874e+00 6.950944527301120002e-02 1.125819299535030016e+00
2.600071962993990571e+00 1.000000000006132872e+00 7.935757709922168779e-01 1.000098072773319080e+00 7.060902399389382134e-02 1.136802023792150784e+00
2.800131351911843147e+00 9.999999999996047606e-01 7.946741232061685922e-01 1.000104272841317199e+00 7.240112290708640430e-02 1.157699037744341908e+00
3.000162822449079947e+00 1.000000000012470025e+00 7.798724745985952111e-01 1.000109742090126819e+00 7.770780408137636930e-02 1.191870274953682918e+00
3.200170693728138005e+00 1.000000000004185097e+00 7.869141757361298728e-01 1.000115793327967628e+00 8.056157918789741412e-02 1.218029526645727278e+00
3.400122227796410268e+00 1.000000000003482548e+00 7.827902562394724040e-01 1.000121526115303805e+00 8.259989436579458222e-02 1.236994078717383871e+00
3.600066899852836233e+00 1.000000000006899370e+00 7.564162662369884327e-01 1.000127129429247974e+00 8.320355313100183392e-02 1.242146350026379409e+00
3.800053129430483345e+00 9.999999999904840564e-01 7.791444174343422624e-01 1.000133060833881427e+00 8.510940774847224055e-02 1.252810592936905110e+00
4.000039374790032909e+00 1.000000000000684786e+00 7.965100752417600960e-01 1.000138365764682957e+00 8.484923197252132454e-02 1.247091749184332077e+00
4.200212901931315024e+00 9.999999999946247442e-01 8.211515332248217058e-01 1.000144658762669225e+00 8.658666439780064727e-02 1.262124124728434271e+00
4.400124889222191804e+00 1.000000000005853096e+00 8.230454609617536832e-01 1.000150727035080234e+00 8.835089195350549762e-02 1.271674314831318098e+00
4.600172226254317209e+00 9.999999999963176123e-01 8.291913406177116030e-01 1.000157677324668981e+00 9.097355709957910541e-02 1.299134452980597265e+00
4.800249114893865965e+00 1.000000000000230926e+00 7.896651497025595212e-01 1.000163621381107371e+00 9.204443303683523814e-02 1.307016280957705723e+00
5.000120712109103138e+00 9.999999999989723776e-01 7.676875382397847503e-01 1.000169728087713095e+00 9.504567427687599102e-02 1.330661855475601563e+00
5.200234218372100869e+00 9.999999999871382883e-01 7.623783273081412570e-01 1.000175534320163484e+00 9.776360083214512275e-02 1.349110636786548412e+00
5.400289001254107824e+00 9.999999999911342030e-01 7.849118132608572385e-01 1.000181230527557252e+00 1.011831688772498600e-01 1.375059071920135878e+00
5.600184359246167531e+00 9.999999999997202238e-01 7.713494298476353261e-01 1.000187104447728181e+00 1.065590485042399310e-01 1.415645154768023106e+00
5.800182650068275159e+00 9.999999999943636197e-01 7.673566882400510991e-01 1.000193218972299736e+00 1.110107718465722371e-01 1.450550549801163935e+00
6.000312151252924942e+00 1.000000000000335731e+00 7.621067145329740722e-01 1.000199135446650844e+00 1.191064054089760738e-01 1.499282198287601453e+00
6.200251362994495530e+00 9.999999999922426497e-01 7.530609278879505375e-01 1.000205164052968332e+00 1.266057001846225549e-01 1.557257519749461583e+00
6.400088543283459330e+00 1.000000000004779288e+00 7.512539772468499466e-01 1.000211836634666174e+00 1.307811062235869071e-01 1.587326370581006341e+00
6.600147183529818662e+00 9.999999999988702371e-01 7.462476527655044212e-01 1.000217994169327218e+00 1.320714148878001093e-01 1.602775858265334419e+00
6.800128941775003710e+00 9.999999999904813919e-01 7.493123589036188026e-01 1.000224769532164659e+00 1.272950695647056540e-01 1.576128497885892932e+00
7.000134760015950697e+00 1.000000000002556177e+00 7.588261430322393863e-01 1.000230655903602939e+00 1.243945723743438564e-01 1.554173994640744905e+00
7.200197903205076244e+00 9.999999999998143707e-01 7.458404760649189891e-01 1.000236871303068042e+00 1.230034852296599257e-01 1.547669908533070293e+00
7.400293421380006897e+00 1.000000000000882849e+00 7.166661692580875709e-01 1.000243455424117967e+00 1.227252740125672481e-01 1.542045881673690388e+00
7.600148676902405143e+00 9.999999999979207743e-01 6.988944499354591278e-01 1.000249494446361131e+00 1.202102345865188049e-01 1.526475486191768871e+00
7.800173311282491362e+00 9.999999999993294253e-01 7.140498641937942370e-01 1.000255309221870670e+00 1.175768397308419033e-01 1.508932612397709372e+00
8.000040437270708793e+00 9.999999999994662048e-01 7.026471810424730347e-01 1.000260945936739976e+00 1.158658422555962769e-01 1.491474859736356295e+00
8.200017043685292606e+00 1.000000000004564349e+00 7.014650570247893402e-01 1.000266579073973983e+00 1.137599606825596826e-01 1.476000543667137510e+00
8.400182910287883331e+00 1.000000000005897505e+00 7.433961775592283772e-01 1.000271798067981166e+00 1.146126697187479088e-01 1.482671641628295234e+00
8.600090217932834236e+00 1.000000000011776358e+00 7.385695497714805935e-01 1.000277270510552929e+00 1.175673674850790662e-01 1.498105515764567963e+00
8.800156170286026480e+00 1.000000000000304645e+00 7.101422853333292373e-01 1.000283237978559558e+00 1.130109901364574759e-01 1.474798235556229464e+00
9.000074880760562834e+00 9.999999999976907361e-01 7.281125558211581916e-01 1.000289004934375559e+00 1.072035142346112607e-01 1.432515572568107132e+00
