# time density mach_number sound_speed magnetic_energy_density magnetic_field_magnitude
7.400082806382738632e+00 1.000000000000927258e+00 3.936773795685310495e-01 1.000077898896568174e+00 4.034708405364131889e-02 8.658537330161933943e-01
7.600471355356528846e+00 1.000000000002327027e+00 3.858239308882472351e-01 1.000078884325896311e+00 3.988034754093237877e-02 8.606162693777197337e-01
7.800398657166837779e+00 9.999999999991864286e-01 3.782072729429851177e-01 1.000079831990080326e+00 3.992014386286917710e-02 8.608735643102154445e-01
8.000083437733930936e+00 9.999999999945998752e-01 3.744821456073668675e-01 1.000080776227992185e+00 3.958616056183320714e-02 8.588032517786075015e-01
8.200207965229836304e+00 1.000000000010963674e+00 3.730450883749237279e-01 1.000081712411918566e+00 3.962651872604682629e-02 8.605785444387971106e-01
8.400413739121260548e+00 9.999999999972075670e-01 3.755323336779005650e-01 1.000082633742866323e+00 4.009753468411324240e-02 8.673828340385024704e-01
8.600285632685841009e+00 1.000000000000294875e+00 3.756379332149328287e-01 1.000083538843126840e+00 4.110528724502152120e-02 8.782023291362769379e-01
8.800320582267215030e+00 9.999999999975273113e-01 3.701764374426925186e-01 1.000084469990181191e+00 4.219244258945791665e-02 8.889611863501127864e-01
9.000071262069861078e+00 9.999999999964543917e-01 3.608027423211743745e-01 1.000085398229374478e+00 4.255217272770656090e-02 8.921061748427450144e-01
9.200254284060161325e+00 9.999999999997406519e-01 3.565998027605195020e-01 1.000086294595193825e+00 4.221563809802364453e-02 8.892807719295651170e-01
9.400019408303787571e+00 1.000000000007354117e+00 3.581390567038571504e-01 1.000087157720526809e+00 4.178297130934937459e-02 8.869533198954209219e-01
9.600214250848511099e+00 1.000000000011336709e+00 3.611707385948723648e-01 1.000088002499793127e+00 4.202795338147406745e-02 8.890610852082394544e-01
9.800118726660965507e+00 9.999999999991935340e-01 3.664157278145086516e-01 1.000088846554313626e+00 4.245835114647727310e-02 8.909615849199109539e-01
1.000000000000000000e+01 9.999999999945927698e-01 3.698907161558327439e-01 1.000089705157251485e+00 4.299063901134227150e-02 8.966482360907306326e-01
