# current_time mach_number
0.000000000000000000e+00 0.000000000000000000e+00
2.002802341843962219e-01 3.008189986407903693e-01
4.003351553785026717e-01 5.679151586518829120e-01
6.000203260584766607e-01 7.606202437928760718e-01
8.001758274368409030e-01 8.941208295888612989e-01
1.000064889508518018e+00 9.704985029792845275e-01
1.200218477123341954e+00 9.469700310339475013e-01
1.400100811567497106e+00 8.942890171251258735e-01
1.600214552051500538e+00 8.712289596977337292e-01
1.800202000836736538e+00 8.710211404062379037e-01
2.000217690994012809e+00 8.582240795801403532e-01
2.200168324941313092e+00 8.676061546986177930e-01
2.400075501954175294e+00 8.753100294070533804e-01
2.600237476124754199e+00 8.689302817262934964e-01
2.800153030973734580e+00 8.839254466404596888e-01
3.000052617950559330e+00 9.037857772590872640e-01
3.200174813788700057e+00 9.224753238330712923e-01
3.400202702345838546e+00 8.992623785997313490e-01
3.600143976745709296e+00 8.957818493198284049e-01
3.800100333179032841e+00 8.975797293554103051e-01
4.000093214154700760e+00 8.925956447399062688e-01
4.200130517777027173e+00 8.800959371211727333e-01
4.400159128141969411e+00 8.543450143301674071e-01
4.600279481328784392e+00 8.448181987266718540e-01
4.800093169916591407e+00 8.416057093703114278e-01
5.000008989926588931e+00 8.371802548699108781e-01
5.200061796574980022e+00 8.234647301854526313e-01
5.400148933685857244e+00 8.098588493275438172e-01
5.600280724613377892e+00 8.092365167982745744e-01
5.800054064361770401e+00 8.106347867917882422e-01
6.000110284192230914e+00 8.170712008315910158e-01
6.200271347861644244e+00 8.232625183450760220e-01
6.400093451526767119e+00 8.252895260516232012e-01
6.600216377331265427e+00 8.044498177068050149e-01
6.800009494274715571e+00 7.864015790929481664e-01
7.000021511624666459e+00 7.704168970373106440e-01
7.200077875480332956e+00 7.750219483955288480e-01
7.400115001899995271e+00 7.809291279311414424e-01
7.600132927911992908e+00 7.915486277474060861e-01
7.800043682900707154e+00 7.938220402989865088e-01
8.000131011001075265e+00 7.761649771039016432e-01
8.200230507487988874e+00 7.730304244984602668e-01
8.400160759411052780e+00 7.853961787511555270e-01
8.600131434709531675e+00 7.828467999513838427e-01
8.800027805016949145e+00 7.734826687581715099e-01
9.000104286481274585e+00 7.698882588015911743e-01
9.200142487773558031e+00 7.754500811327972309e-01
9.400053754297843511e+00 7.721405823435023574e-01
9.600149870652723294e+00 7.608156515833653932e-01
9.800103464395396813e+00 7.572713431588439237e-01
1.000000000000000000e+01 7.637835206649207231e-01
