# time density mach_number sound_speed magnetic_energy_density magnetic_field_magnitude
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000049998750045521e+00 5.000000000325178899e-05 2.520539016606152330e-02
2.006512356197828195e-01 1.000000000002689404e+00 1.516341420609111368e-01 1.000049998059614698e+00 5.052532430541298373e-05 2.533912959895244510e-02
4.001368835266797541e-01 1.000000000011421974e+00 2.902348813653416459e-01 1.000049979036540915e+00 6.143465938298226523e-05 2.738223398036662357e-02
6.003580844328121335e-01 1.000000000000806466e+00 4.166990973107581597e-01 1.000049911817626924e+00 1.129615581173491892e-04 3.517565859618401042e-02
8.000284573227127716e-01 1.000000000006473044e+00 5.194559644549430200e-01 1.000049694452294080e+00 2.659772081611098547e-04 5.073101568676589845e-02
1.000326445733782377e+00 1.000000000003925749e+00 6.169111833484688390e-01 1.000049398222125463e+00 6.457849919673863204e-04 7.495754485080306784e-02
1.200217562319151110e+00 9.999999999941167061e-01 6.957685082308688873e-01 1.000049304122056837e+00 1.426765040256063218e-03 1.109144426009497919e-01
1.400005234458566283e+00 1.000000000008105516e+00 7.463356574914694619e-01 1.000049367582948268e+00 2.994351236303786565e-03 1.703133391923945250e-01
1.600208345249859887e+00 9.999999999916528992e-01 7.676202093022365114e-01 1.000050749896285840e+00 5.637418105254803948e-03 2.614131149039543578e-01
1.800217889537575111e+00 9.999999999890665237e-01 7.390902834552168787e-01 1.000054559406015287e+00 9.272732314249838501e-03 3.683708768518132448e-01
2.000132212849296209e+00 9.999999999974633624e-01 6.929417302239754273e-01 1.000059260073996148e+00 1.208658958899864674e-02 4.433100306820894621e-01
2.200051617697602602e+00 1.000000000003018030e+00 6.674319282502799711e-01 1.000063093476195375e+00 1.345318525886410321e-02 4.777885294290930007e-01
2.400375834918428986e+00 9.999999999965769604e-01 6.679197876274225454e-01 1.000066051686853363e+00 1.425791433505821035e-02 4.968392919742584124e-01
2.600314637333172918e+00 1.000000000002270184e+00 6.688101087263613742e-01 1.000068576486315752e+00 1.493598214290364767e-02 5.087553303787387682e-01
2.800287280289316616e+00 9.999999999908464332e-01 6.726434335783874063e-01 1.000070825457836765e+00 1.594815688744133722e-02 5.261958870481493467e-01
3.000074701198908400e+00 1.000000000002730260e+00 6.790168936201715910e-01 1.000073170417975499e+00 1.725399751883155419e-02 5.464355043246925669e-01
3.200334469407186688e+00 1.000000000004112266e+00 6.828231932470705257e-01 1.000075655269712316e+00 1.893735454882154029e-02 5.737515392353738086e-01
3.400090276221601204e+00 9.999999999971187492e-01 6.888657608542868571e-01 1.000078422490288999e+00 2.096979865633809975e-02 6.052006262175521067e-01
3.600029643336395413e+00 9.999999999981010745e-01 6.864636380931038451e-01 1.000080901431044555e+00 2.286550509548748722e-02 6.328290174326007822e-01
3.800146587911250151e+00 9.999999999966782127e-01 6.897432457532086669e-01 1.000083652287854452e+00 2.465283138880076941e-02 6.579241232820352003e-01
4.000028318622991463e+00 1.000000000005714540e+00 6.903203987478038206e-01 1.000086485313862239e+00 2.644393066599232470e-02 6.825132288473114706e-01
