# time density mach_number sound_speed magnetic_energy_density magnetic_field_magnitude
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000049998750045521e+00 1.249999999922540720e-03 1.260269508229000801e-01
2.001104716373104109e-01 9.999999999891961977e-01 1.490745268896185305e-01 1.000049998129469264e+00 1.258395643025136219e-03 1.264971389483092179e-01
4.007027240325691242e-01 1.000000000003435474e+00 2.789954677128630434e-01 1.000049981630602103e+00 1.515075218892361544e-03 1.360700884211720196e-01
6.002264217039128269e-01 1.000000000002291500e+00 3.902899313093360911e-01 1.000049928301070423e+00 2.626498183009598909e-03 1.707758542977746152e-01
8.004488269377680876e-01 9.999999999958930630e-01 4.785580041598683776e-01 1.000049757836520614e+00 5.569503866896077446e-03 2.370504638245677920e-01
1.000479194445330178e+00 9.999999999999111822e-01 5.610165497158393633e-01 1.000049585896191751e+00 1.148982680572956799e-02 3.334985601102665176e-01
1.200386881203256095e+00 9.999999999984474641e-01 6.166445847898974764e-01 1.000049720430860489e+00 2.071716291906728832e-02 4.587954651832829023e-01
1.400248162059287704e+00 9.999999999959356956e-01 6.365787805371755370e-01 1.000050347488127267e+00 3.226975193471406239e-02 6.175990742200369032e-01
1.600181828821678254e+00 9.999999999976090237e-01 6.297745581547806726e-01 1.000052315448088924e+00 4.162042955513172576e-02 7.688675697719640212e-01
1.800190714133679037e+00 1.000000000003263168e+00 6.025600401837406528e-01 1.000055533169594391e+00 4.544411155600956015e-02 8.623989148819329875e-01
2.000118585849843367e+00 9.999999999988542498e-01 5.754551675195459515e-01 1.000058876096213245e+00 4.629671125123489134e-02 9.014781340639071994e-01
2.200266267696938893e+00 9.999999999923225857e-01 5.695096894669884335e-01 1.000061756794829559e+00 4.765164433939120259e-02 9.269763609830578011e-01
2.400217631692844744e+00 1.000000000011675994e+00 5.705288517416116090e-01 1.000064274204674142e+00 4.807975839593309902e-02 9.372559032609643070e-01
2.600153933009529350e+00 1.000000000013082868e+00 5.637179218639557510e-01 1.000066652446018223e+00 4.836237898047372752e-02 9.422538124436550255e-01
2.800183819775959648e+00 1.000000000002472689e+00 5.578294348068135733e-01 1.000068859565877322e+00 4.891784435802977449e-02 9.466511222413377391e-01
3.000127114092097536e+00 9.999999999997175593e-01 5.585608653324878325e-01 1.000071200317678377e+00 4.903371679647192116e-02 9.484831023247863868e-01
3.200234830259112595e+00 1.000000000005902834e+00 5.630345546840819226e-01 1.000073477939857236e+00 5.023434545430326137e-02 9.603653805666471088e-01
3.400377378969292153e+00 9.999999999963655739e-01 5.783669657337313641e-01 1.000075823742546888e+00 5.042239536139273698e-02 9.653539240704748225e-01
3.600133686811975764e+00 1.000000000001428191e+00 5.792454774469263379e-01 1.000078005735766773e+00 5.116471393007551022e-02 9.706816894852499100e-01
3.800276484431064361e+00 1.000000000008826717e+00 5.781758978233682011e-01 1.000080469973324115e+00 5.252343130408928390e-02 9.851761443803428442e-01
4.000102895836089800e+00 9.999999999999058531e-01 5.791785909678683897e-01 1.000082847663706698e+00 5.462517129200027133e-02 1.004840719436262297e+00
4.200150684420216329e+00 9.999999999905480053e-01 5.788087983711922568e-01 1.000085265271082102e+00 5.712869978728947473e-02 1.024849035737689151e+00
4.400064655679875258e+00 9.999999999959054975e-01 5.720838719212367751e-01 1.000087733869168938e+00 5.754062244945546550e-02 1.028489215104864574e+00
4.600076340965093991e+00 9.999999999962110309e-01 5.711103098854242166e-01 1.000090183129310750e+00 5.584950425031274396e-02 1.018154485647988272e+00
4.800046902052618414e+00 9.999999999991047162e-01 5.747129448033189147e-01 1.000092471582136211e+00 5.505394622101419944e-02 1.007543344092620252e+00
5.000257518814248847e+00 9.999999999907807080e-01 5.801228451481640347e-01 1.000094837415530069e+00 5.556318775045891029e-02 1.012871079023450305e+00
5.200086867287501136e+00 1.000000000011276313e+00 5.865755534084370337e-01 1.000097194345378471e+00 5.743143078224962478e-02 1.027746825111925943e+00
5.400292015372369470e+00 1.000000000010411227e+00 5.988249625377356500e-01 1.000099804000154524e+00 5.810323803540198145e-02 1.038267846286133000e+00
5.600098854805920290e+00 1.000000000004918732e+00 6.048636148582797745e-01 1.000102316540198100e+00 5.870727128900075226e-02 1.048149994104560223e+00
5.800016474366294084e+00 9.999999999970246023e-01 5.922952191416357426e-01 1.000104749830232009e+00 5.940551923423301878e-02 1.055954645587601215e+00
6.000276323950490820e+00 9.999999999978932408e-01 5.829295688463649316e-01 1.000107290073712907e+00 5.926805080273376408e-02 1.053398317107448801e+00
6.200298453257918396e+00 9.999999999929567451e-01 5.667856802850363973e-01 1.000109632287246919e+00 5.856071033825229616e-02 1.046114778715863780e+00
