# current_time mach_number
0.000000000000000000e+00 0.000000000000000000e+00
2.001757135228273143e-01 4.482847107939657572e-01
4.000932572172544166e-01 8.366663615392574416e-01
6.000800736558511428e-01 1.099523223355684864e+00
8.001261681743874199e-01 1.234344211403648028e+00
1.000220104720931813e+00 1.197175504210398200e+00
1.200057947398033509e+00 1.133422192321528410e+00
1.400137149633930544e+00 1.111587370251578388e+00
1.600217254861464156e+00 1.123884767538450902e+00
1.800238669217405274e+00 1.086478929119387038e+00
2.000099904512033788e+00 1.096931181017359869e+00
2.200094530048827046e+00 1.108108255391655472e+00
2.400069750929294532e+00 1.114415125073650259e+00
2.600109967769395514e+00 1.115969435394623899e+00
