time density mach_number sound_speed magnetic_energy_density magnetic_field_magnitude
6.000187509705774858e+00 9.999999999953548269e-01 5.892418127620564494e-01 1.000115961162973299e+00 6.472812807072263197e-02 1.100316380895578261e+00
6.200024965974284541e+00 9.999999999960138553e-01 5.849108196091068468e-01 1.000118508717923183e+00 6.644688150274545568e-02 1.115353534529379687e+00
6.400053437275892598e+00 1.000000000007490897e+00 5.744609725961384861e-01 1.000121085579766866e+00 6.830597295729985696e-02 1.130838324507583481e+00
6.600418150944175721e+00 1.000000000008318679e+00 5.667549605429235138e-01 1.000123655198197570e+00 7.009814619351181775e-02 1.143977260152567732e+00
6.800003110803305439e+00 1.000000000000845546e+00 5.668519973609132956e-01 1.000126249712967486e+00 7.010165550510187582e-02 1.146426120216436528e+00
7.000297030506136942e+00 1.000000000007860379e+00 5.650007302636377293e-01 1.000128912359570021e+00 6.986692890599943695e-02 1.145037339692758671e+00
7.200331836382471984e+00 9.999999999979625187e-01 5.708886567074529239e-01 1.000131557982987696e+00 6.969361102025460608e-02 1.145249966095775562e+00
7.400323721283912803e+00 1.000000000003405276e+00 5.733484110614276430e-01 1.000134204833468266e+00 7.022393161360412916e-02 1.151705752905015867e+00
7.600254471016225644e+00 1.000000000003632650e+00 5.707678206882439431e-01 1.000136782304122285e+00 7.204834183730522701e-02 1.168632189986452907e+00
7.800287509646566697e+00 1.000000000000676792e+00 5.774105813497701911e-01 1.000139458486049682e+00 7.321365283961923931e-02 1.178982500606276407e+00
8.000356060343964515e+00 1.000000000000984102e+00 5.889390575546635809e-01 1.000142171802057556e+00 7.226023473367838845e-02 1.171896965985373740e+00
8.200379812581756411e+00 9.999999999922479788e-01 5.993863622592013884e-01 1.000144828666420960e+00 7.220035373351184338e-02 1.170094764028670964e+00
8.400142609537629923e+00 9.999999999955910823e-01 6.085736597455631003e-01 1.000147505390111657e+00 7.389808454470596366e-02 1.182268770615732212e+00
8.600119400976502959e+00 9.999999999960973440e-01 6.107756900759772067e-01 1.000150297366833918e+00 7.568710840938099038e-02 1.193340551279625128e+00
8.800066391460521942e+00 9.999999999965911712e-01 6.012427041507617531e-01 1.000153353651535459e+00 7.897140327422434714e-02 1.219918513734826293e+00
9.000029679801075488e+00 9.999999999898943059e-01 5.852232021811638596e-01 1.000156505102441251e+00 8.209625926654015582e-02 1.248433902276362417e+00
9.200102965183207360e+00 9.999999999981188381e-01 5.679012546046324772e-01 1.000159582783280765e+00 8.529588628239787029e-02 1.272655793288328674e+00
9.400177173415810827e+00 1.000000000007950973e+00 5.561768583372791452e-01 1.000162518000578649e+00 8.636058508184885074e-02 1.288338672353017245e+00
9.600228069736594705e+00 9.999999999996056488e-01 5.507568378030345269e-01 1.000165450820343915e+00 8.716151460610065127e-02 1.295144011852274790e+00
9.800028685762219638e+00 9.999999999865583078e-01 5.454060002606850865e-01 1.000168259705629836e+00 8.717759445139260099e-02 1.292901056032092155e+00
1.000000000000000000e+01 1.000000000000115463e+00 5.387637321409195490e-01 1.000170917427510853e+00 8.911614946271008419e-02 1.307028376028819716e+00
