time density mach_number sound_speed magnetic_energy_density magnetic_field_magnitude
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000049998750045521e+00 1.249999999922540720e-03 1.260269508229000801e-01
2.000329144161283323e-01 9.999999999967421616e-01 1.778023087584201245e-01 1.000049997423050785e+00 1.265823050247751828e-03 1.267939106218406997e-01
4.005140149796252436e-01 1.000000000002803091e+00 3.086280462992188056e-01 1.000049971160359874e+00 1.612599194924768751e-03 1.395189092499810046e-01
6.000017269277644338e-01 1.000000000016463275e+00 4.059726640780423890e-01 1.000049898389355096e+00 2.950435120686293374e-03 1.796650644602334201e-01
8.002776492675970355e-01 9.999999999968949282e-01 4.944151433783093297e-01 1.000049668622013055e+00 6.274531676245504765e-03 2.506716654361402785e-01
1.000111533791661955e+00 1.000000000012015278e+00 5.690409880894244932e-01 1.000049568959977764e+00 1.264765398823615959e-02 3.529117549245407992e-01
1.200300116775997239e+00 1.000000000001271871e+00 6.032647899577615602e-01 1.000049809504920395e+00 2.246897936261720713e-02 4.858244129229787878e-01
1.400353205139839075e+00 9.999999999982147614e-01 6.094987310614543574e-01 1.000050547309846438e+00 3.383322686463523937e-02 6.443392321780199161e-01
1.600199753434534689e+00 9.999999999962092545e-01 5.956120415540170354e-01 1.000052726102948375e+00 4.137176842840990798e-02 7.795386117085112421e-01
1.800179716775734740e+00 1.000000000002371436e+00 5.715089742304518827e-01 1.000055730692637423e+00 4.418785090586383607e-02 8.572983554513784465e-01
2.000411485393628119e+00 1.000000000009073631e+00 5.605685170962096953e-01 1.000058816432685793e+00 4.428886611131447465e-02 8.839939427972614006e-01
2.200146800683540516e+00 1.000000000009693579e+00 5.638149126045357562e-01 1.000061312874120922e+00 4.554932416745977736e-02 9.062833784448992569e-01
2.400041667984051941e+00 1.000000000010983214e+00 5.700470623072723120e-01 1.000063722693741886e+00 4.703052772988365604e-02 9.262602981973540039e-01
2.600148782413391313e+00 9.999999999935091921e-01 5.565360200838120885e-01 1.000065854357579997e+00 4.886820221881106596e-02 9.463945785377280151e-01
2.800066807711240280e+00 9.999999999971525000e-01 5.587603394229575526e-01 1.000068031514048661e+00 5.027357974594401369e-02 9.624026067874019708e-01
3.000302770372097694e+00 1.000000000002991385e+00 5.662116815063702457e-01 1.000070382150296977e+00 5.208065132905513595e-02 9.750411996938095349e-01
3.200063877824593561e+00 1.000000000003730349e+00 5.623572928294997553e-01 1.000072710114133123e+00 5.300962760749025615e-02 9.812793914261903616e-01
3.400355700366187506e+00 9.999999999976996179e-01 5.614262532002344264e-01 1.000075192086715692e+00 5.311516788633978414e-02 9.844885772477918184e-01
3.600329524340648568e+00 1.000000000002279066e+00 5.422233327959808946e-01 1.000077472392479017e+00 5.481438340803168607e-02 1.003275371878987077e+00
3.800293507043871699e+00 9.999999999937188022e-01 5.576467338328366941e-01 1.000079748676057534e+00 5.461380288543356970e-02 1.005061051168881558e+00
4.000198031235142615e+00 1.000000000011693757e+00 5.795238347072502183e-01 1.000081951563598359e+00 5.514849707750889979e-02 1.010389804363235999e+00
4.200363364620202766e+00 9.999999999934683359e-01 5.822434264668310266e-01 1.000084325734557300e+00 5.625417816363914580e-02 1.018558353879922995e+00
4.400010692117754196e+00 1.000000000003218759e+00 5.731238774928563151e-01 1.000086598841190222e+00 5.412005245238117601e-02 1.002335571545509785e+00
4.600060336358499313e+00 1.000000000001289635e+00 5.751820084998596760e-01 1.000088851401285117e+00 5.247664303546417663e-02 9.907484507977667443e-01
4.800196685328764090e+00 1.000000000009745094e+00 5.885308284161471226e-01 1.000091154706521435e+00 5.363887314357147079e-02 1.001528444032136367e+00
5.000085954189818160e+00 1.000000000003803180e+00 5.848064692212121551e-01 1.000093596005037000e+00 5.372182785756277057e-02 1.001797205287065617e+00
5.200253890464723305e+00 1.000000000000008882e+00 5.873703301289946443e-01 1.000095972145875978e+00 5.371679857818009718e-02 1.001520711602175373e+00
5.400273882499169176e+00 9.999999999985487165e-01 5.921395925293195805e-01 1.000098535006137768e+00 5.307414692332845796e-02 9.946892462235006338e-01
5.600427720886512972e+00 1.000000000007094769e+00 6.121694634181108485e-01 1.000101134906179912e+00 5.165275186278533298e-02 9.811402108215644402e-01
5.800048233675075160e+00 1.000000000010826895e+00 6.034403369380958448e-01 1.000103550166169253e+00 5.089965975895714700e-02 9.724190709442644964e-01
6.000226693353013729e+00 9.999999999783355520e-01 5.809561100104628784e-01 1.000105857041739599e+00 4.976679306512182127e-02 9.615480027313633160e-01
6.200253058821736829e+00 1.000000000008396839e+00 5.806633446410094379e-01 1.000108246660988964e+00 4.897262968369867769e-02 9.534327037173975228e-01
6.400110619324152594e+00 1.000000000005005774e+00 5.816084686752719390e-01 1.000110527753532708e+00 5.130876510073877766e-02 9.741195829513252802e-01
6.600065147276400701e+00 1.000000000006318501e+00 5.943294176610207646e-01 1.000112955199559117e+00 5.458104102326345047e-02 1.004529734660913887e+00
6.800196489267265498e+00 1.000000000003376854e+00 6.007804987791778295e-01 1.000115419893934376e+00 5.718691502920217329e-02 1.025733633171195924e+00
7.000056494037207422e+00 1.000000000000566658e+00 5.762410642353718027e-01 1.000118047103172092e+00 5.745880246299960026e-02 1.031231806954945984e+00
7.200081010243367885e+00 1.000000000005664802e+00 5.605689244443462504e-01 1.000120839803240846e+00 5.724235428476249360e-02 1.036194999496200086e+00
7.400265767977019848e+00 1.000000000006767920e+00 5.494728575068928977e-01 1.000123376829046729e+00 5.742395620929282435e-02 1.038188158103267256e+00
7.600331087977733269e+00 1.000000000004376943e+00 5.609181393753535083e-01 1.000125924599881477e+00 5.776532000339677786e-02 1.042677059108717996e+00
7.800364867664101531e+00 9.999999999925108796e-01 5.669576716003768002e-01 1.000128383544677479e+00 6.016622257147136166e-02 1.060080374589297936e+00
8.000346770363158555e+00 9.999999999864126465e-01 5.586216480661502226e-01 1.000130965794765014e+00 6.327521059344738685e-02 1.086590621147080826e+00
8.200070083514296115e+00 9.999999999945483609e-01 5.393733049642920330e-01 1.000133440733645518e+00 6.290963637569109423e-02 1.086127497838555556e+00
8.400197893055228349e+00 9.999999999934114925e-01 5.401411229743360298e-01 1.000136028661179122e+00 6.274383519626064443e-02 1.087007793481996609e+00
8.600362547455254969e+00 9.999999999963176123e-01 5.237646037403107524e-01 1.000138586716295297e+00 6.511317259146486014e-02 1.105672558564551933e+00
8.800165347251246217e+00 1.000000000006533440e+00 5.165458410824707025e-01 1.000140884207546321e+00 6.586755725115797655e-02 1.115219978164286196e+00
9.000313145643294988e+00 9.999999999913598003e-01 5.174934143724982949e-01 1.000143208880929002e+00 6.700964456852702422e-02 1.128049254876327234e+00
9.200045341150040912e+00 1.000000000002026823e+00 5.019044344837643168e-01 1.000145506423832265e+00 6.853510842857964136e-02 1.139896398711512715e+00
9.400143582298392531e+00 1.000000000010677681e+00 4.862668124360828847e-01 1.000147961347507941e+00 6.838687773326714014e-02 1.141195572303084438e+00
9.600457659880422767e+00 1.000000000006384226e+00 4.812566809092835851e-01 1.000150089967583922e+00 6.749454878537382296e-02 1.135383871748590234e+00
9.800211896951516621e+00 1.000000000002852829e+00 4.891565392724431249e-01 1.000152227948673644e+00 6.716255736909138019e-02 1.133537732242678731e+00
1.000000000000000000e+01 9.999999999905142545e-01 5.096854130994131760e-01 1.000154482899812347e+00 6.808111525466138680e-02 1.138828181216868796e+00
