# current_time mach_number
0.000000000000000000e+00 0.000000000000000000e+00
2.020178737463210195e-01 1.527625080675870835e-02
4.021686835141325411e-01 2.990243970771433446e-02
6.015801396560793712e-01 4.323795321047829709e-02
8.015029880683036678e-01 5.550093828132806467e-02
1.001349845404800654e+00 6.695459085304207580e-02
1.200114493438411589e+00 7.779244779426310041e-02
1.401037723097695586e+00 8.749915939232762174e-02
1.600183853174524939e+00 9.523262610663518757e-02
1.801224709016654213e+00 1.031117680578602369e-01
2.000973895757002907e+00 1.108342102908942417e-01
2.200476973479859488e+00 1.180861519004078736e-01
2.400313827998752814e+00 1.251803236191854907e-01
2.601083655600696876e+00 1.327496642239127111e-01
2.800292833719105534e+00 1.386345804499642398e-01
3.001378272957635929e+00 1.428652951070163990e-01
3.200937056581399265e+00 1.464359990077873652e-01
3.401340497737198376e+00 1.494222772900807850e-01
3.601250490682236904e+00 1.517460446650391592e-01
3.801028402644265114e+00 1.537969462466133863e-01
4.000666584901854783e+00 1.554273484978277997e-01
4.201119314761641910e+00 1.560344409305030877e-01
4.400221354555214681e+00 1.563578674043055450e-01
4.600765673962901481e+00 1.558952666958260125e-01
4.801091101466379740e+00 1.552443080881268922e-01
5.000141690964823304e+00 1.541234392278679477e-01
5.200223386500684164e+00 1.517163789344473379e-01
5.400337695090617451e+00 1.496894499939977752e-01
5.601064807170826221e+00 1.479042819749418203e-01
5.800494159311295306e+00 1.463864508947755882e-01
6.000103196947016215e+00 1.453742223230584385e-01
6.200416694965945830e+00 1.440625518614209732e-01
6.400194773215296173e+00 1.436464346571605655e-01
6.600698894570128594e+00 1.433971024470237221e-01
6.800644900685147043e+00 1.437767205220821798e-01
7.001205465920691928e+00 1.449784713094593724e-01
7.201620106832359092e+00 1.462185216882343486e-01
7.400144450308667743e+00 1.470705552763290624e-01
7.600248875055169329e+00 1.473529960969147123e-01
7.800172878522306341e+00 1.472280630602066653e-01
8.000875944594245226e+00 1.476848922769233852e-01
8.201545847158460134e+00 1.481205946198334289e-01
8.400549187105616156e+00 1.481627903584276928e-01
8.600324394161473762e+00 1.481323965761607853e-01
8.801111470410512894e+00 1.476217008824322330e-01
9.000139779341505886e+00 1.469035952853108284e-01
9.200141298348270880e+00 1.461502059969774225e-01
9.400716604921766972e+00 1.459433059729216831e-01
9.600111867310209490e+00 1.466514325483065928e-01
9.800622887518908755e+00 1.482487402797217357e-01
1.000000000000000000e+01 1.499467411914369164e-01
