# current_time mach_number
0.000000000000000000e+00 0.000000000000000000e+00
2.002961464309448991e-01 1.509637172110642467e-01
4.002170579869722133e-01 2.858622295684543069e-01
6.005472643410758593e-01 4.010240043462874326e-01
8.004036537492182912e-01 4.823569551299692337e-01
1.000275642449180769e+00 5.524954793096924499e-01
1.200220416063968232e+00 6.005811352827021832e-01
1.400254074390217207e+00 6.089258663412207007e-01
1.600206776554960575e+00 5.961466814880068688e-01
1.800141729045753758e+00 5.759779574045985617e-01
2.000222702800952490e+00 5.654418037169535172e-01
2.200109174936952794e+00 5.678333913408907252e-01
2.400247815930931949e+00 5.680833971571914720e-01
2.600086618834514418e+00 5.613646285818191251e-01
2.800169854962203164e+00 5.608001822295047845e-01
3.000188760970914359e+00 5.640310622954194386e-01
3.200142432238084922e+00 5.669782221516621590e-01
3.400288962855130492e+00 5.718385734783025809e-01
3.600161034651633063e+00 5.673479905074559904e-01
3.800207028487183614e+00 5.702303504978898374e-01
4.000181687163582467e+00 5.586847067290288127e-01
4.200152054859761286e+00 5.433358934240972715e-01
4.400239001616667700e+00 5.425362829137435616e-01
4.600231215052901668e+00 5.425819691756873508e-01
4.800043166476246626e+00 5.463604014318904634e-01
5.000283844995133009e+00 5.504541092899575272e-01
5.200185291408984334e+00 5.516639740008650872e-01
5.400206585457397068e+00 5.440046958695168300e-01
5.600150247973308737e+00 5.290381558064461975e-01
5.800354271575907994e+00 5.172532105726559415e-01
6.000181111554933722e+00 5.174400143670184749e-01
6.200162327569874066e+00 5.227559456847977737e-01
6.400126688688319909e+00 5.218463557077591686e-01
6.600264550365313454e+00 5.127915274761025710e-01
6.800121022315476438e+00 5.162688808892381687e-01
7.000285000031515104e+00 5.261130954009647365e-01
7.200227746325744249e+00 5.443815690958412334e-01
7.400084684773354127e+00 5.619490939300599841e-01
7.600081805960815728e+00 5.750284687177046328e-01
7.800248277593618162e+00 5.843791270058725784e-01
8.000171429407370027e+00 5.971629663313147152e-01
8.200003569146057103e+00 5.929200032901484896e-01
8.400297981570320260e+00 5.745589618908611973e-01
8.600001707853934363e+00 5.533474931277072573e-01
8.800055345331141865e+00 5.394900485521920697e-01
9.000109764520809463e+00 5.277509827059989611e-01
9.200256463729351353e+00 5.182583759048675631e-01
9.400184041940313762e+00 5.094003128220634391e-01
9.600138704663903511e+00 5.088194226742073223e-01
9.800331850578350767e+00 5.115678733969941661e-01
1.000000000000000000e+01 5.151794024054578980e-01
