# time density mach_number sound_speed magnetic_energy_density magnetic_field_magnitude
0.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 1.000049998750045521e+00 4.999999995940622166e-01 2.520539015509989600e+00
2.004201568774325315e-01 1.000000000014555468e+00 3.189162525657621150e-01 1.000044332564001381e+00 2.443267474490213587e-01 1.758318081507050268e+00
4.003435916019731367e-01 9.999999999928732564e-01 3.529658719530881505e-01 1.000049747179970083e+00 2.966048803311381876e-01 1.774439278205662163e+00
6.000676254257348852e-01 9.999999999965183406e-01 4.199336615056157851e-01 1.000052200877356245e+00 2.560856696218500317e-01 1.791279679515694667e+00
8.002436983708463014e-01 1.000000000002099654e+00 5.546826763118147818e-01 1.000055534637128485e+00 2.239178799800004283e-01 1.711084235938308717e+00
1.000082706573456992e+00 1.000000000000741629e+00 6.544790144530773235e-01 1.000057668541904921e+00 1.781962555367620216e-01 1.529119329328627597e+00
1.200296792158336512e+00 1.000000000012972734e+00 7.183707654232852624e-01 1.000061153539165471e+00 1.434887654533553991e-01 1.347432631542713199e+00
1.400015656072713277e+00 9.999999999909432447e-01 7.058661622475792541e-01 1.000065601629874346e+00 1.255502629893967270e-01 1.309830266947018096e+00
1.600173905242701089e+00 9.999999999938822270e-01 6.804512762040555440e-01 1.000070520585384148e+00 1.148829823624533120e-01 1.344302959813150622e+00
1.800203583190027601e+00 9.999999999996624922e-01 6.356151751904819402e-01 1.000075254574876560e+00 1.092604079637049391e-01 1.358540554319486615e+00
2.000101535626773952e+00 1.000000000000971667e+00 5.964709627908825196e-01 1.000079792709587911e+00 1.027620285141424977e-01 1.352020175489347720e+00
2.200324498338943613e+00 1.000000000011652901e+00 5.725301773394275706e-01 1.000083415087388961e+00 9.509646946665330225e-02 1.324732964812476599e+00
2.400169502711992919e+00 9.999999999946460605e-01 5.569005564258412422e-01 1.000086475613019887e+00 9.221382295248457817e-02 1.318487556593126664e+00
2.600028046304493579e+00 1.000000000003327116e+00 5.490137062342492769e-01 1.000089401072176365e+00 9.481407133515640240e-02 1.334333982577359468e+00
2.800086517284861465e+00 1.000000000003623768e+00 5.450257296584558597e-01 1.000092165298502644e+00 9.729345839823866360e-02 1.361377217923017247e+00
3.000000516848783327e+00 9.999999999893844915e-01 5.495569936288988711e-01 1.000094927208933226e+00 1.007235100355966390e-01 1.390696617066156104e+00
