# current_time mach_number
0.000000000000000000e+00 0.000000000000000000e+00
2.015224863664927812e-01 1.514942301553212634e-01
4.000719694855766617e-01 2.942098943925914312e-01
6.000169588862088732e-01 4.208701721850323652e-01
8.010650133669846573e-01 5.267813715983331591e-01
1.000617733615652538e+00 5.940295377485987904e-01
1.200515343404363611e+00 6.393956807308593948e-01
1.400101346633207955e+00 6.621104221440243798e-01
1.600641252772719403e+00 6.633342597222283699e-01
1.800166065722498265e+00 6.445265775832679234e-01
2.000510225212390303e+00 6.203345814956100490e-01
2.200814945961113711e+00 6.110482459852398796e-01
2.400433934408587877e+00 6.052929289917148292e-01
2.600737615023012150e+00 6.051364582433109707e-01
2.800231222344926163e+00 6.042851439913681233e-01
3.000623540567089353e+00 5.992825932854827231e-01
3.200688150646747054e+00 6.019746250635031881e-01
3.400085165052919578e+00 5.984356883155396156e-01
3.600673652037866823e+00 5.990050416060630489e-01
3.800539681680075166e+00 6.016174861732871415e-01
4.000531005885618718e+00 6.064589934814363925e-01
4.200603603850109558e+00 6.060582775531921929e-01
4.400260459501921240e+00 6.060113820222600145e-01
4.600259272981940484e+00 6.037431972861849738e-01
4.800017254012753476e+00 5.901408461235125857e-01
5.000546796208741540e+00 5.798849577872903227e-01
5.200623670378636376e+00 5.827753307286009932e-01
5.400731165213257690e+00 5.861183046013029863e-01
5.600180820603478438e+00 5.839176091902658072e-01
5.800772121060134623e+00 5.824331923054192339e-01
6.000101444880750812e+00 5.868625709281805047e-01
6.200644352379152124e+00 5.852332652538310143e-01
6.400216631479342055e+00 5.897186460004999464e-01
6.600582426809225467e+00 6.005041471593621782e-01
6.800730412666691649e+00 6.026669327168973078e-01
7.000071690532550406e+00 6.024547764228620483e-01
7.200530128951215580e+00 6.002888190276897129e-01
7.400719447253120364e+00 5.896244131292709412e-01
7.600524824690636727e+00 5.881853293226059209e-01
7.800405808882984182e+00 5.958013181336558883e-01
8.000616039675561453e+00 5.989820165741207569e-01
8.200743588484824542e+00 5.899250225835709349e-01
8.400716361630719220e+00 5.886877636092661126e-01
8.600716325993698064e+00 5.872787256109553988e-01
8.800778558346287639e+00 5.856701529938381778e-01
9.000750967976278716e+00 5.867360259585506777e-01
9.200715953728375140e+00 5.954439162059426138e-01
9.400790989528678310e+00 5.991109235624513252e-01
9.600136018296415941e+00 5.937175870189987936e-01
9.800507663062113295e+00 5.925900822078739028e-01
1.000000000000000000e+01 5.913798883788505822e-01
